Date,Open,High,Low,Close,Volume,Market Cap
2017-06-05,5.78,5.88,5.71,5.78,1239070,-
2017-06-06,5.81,6.24,5.81,5.98,772477,-
2017-06-07,5.98,6.01,5.38,5.56,1004770,-
2017-06-08,5.56,5.96,5.25,5.94,1007020,-
2017-06-09,5.94,6.16,5.26,5.49,1496850,-
2017-06-10,5.49,5.5,5.15,5.21,873042,-
2017-06-11,5.25,5.29,4.96,5.12,578033,-
2017-06-12,5.17,5.3,4.64,4.71,576435,-
2017-06-13,4.75,5.48,4.59,5.31,565392,-
2017-06-14,5.24,5.42,4.71,4.84,511714,-
2017-06-15,4.9,4.94,4.08,4.79,341765,-
2017-06-16,4.75,4.98,4.61,4.82,334433,-
2017-06-17,4.77,5.09,4.67,4.98,525094,-
2017-06-18,5.01,5.14,4.79,5.03,564260,-
2017-06-19,5.03,5.85,4.83,5.76,1209340,-
2017-06-20,5.76,5.76,5.42,5.52,1732880,-
2017-06-21,5.48,5.7,5.12,5.49,928249,-
2017-06-22,5.5,5.65,5.3,5.42,886136,-
2017-06-23,5.42,5.5,5.28,5.44,1059860,-
2017-06-24,5.42,6.23,5.25,5.66,2666640,-
2017-06-25,5.65,5.77,5.03,5.45,1416700,-
2017-06-26,5.44,5.5,3.81,4.33,1497800,-
2017-06-27,4.46,4.58,3.09,4.08,1424020,-
2017-06-28,4.07,4.23,3.69,4.07,786704,-
2017-06-29,4.1,4.11,3.74,3.92,558771,-
2017-06-30,3.93,3.93,3.59,3.62,547755,-
2017-07-01,3.66,3.67,3.27,3.32,573443,-
2017-07-02,3.31,3.31,2.67,2.98,644980,-
2017-07-03,2.96,3.14,2.82,3.04,621000,-
2017-07-04,3.09,3.21,2.99,3.05,559692,-
2017-07-05,3.03,3.14,2.68,2.86,513030,-
2017-07-06,2.82,2.93,2.75,2.8,388423,-
2017-07-07,2.81,2.82,2.43,2.43,389197,-
2017-07-08,2.43,2.43,2.05,2.42,397700,-
2017-07-09,2.42,2.49,2.19,2.19,341665,-
2017-07-10,2.2,2.37,1.7,1.82,316470,-
2017-07-11,1.87,1.87,1.34,1.48,408543,-
2017-07-12,1.48,1.9,1.41,1.9,221133,-
2017-07-13,1.91,2.07,1.72,1.77,247427,-
2017-07-14,1.76,2.08,1.65,1.97,355879,-
2017-07-15,1.99,2.2,1.9,2.06,786860,-
2017-07-16,1.97,2.41,1.95,2.35,770689,-
2017-07-17,2.34,2.91,2.32,2.84,783836,-
2017-07-18,2.87,2.9,2.71,2.84,688102,-
2017-07-19,2.85,2.87,2.41,2.49,662114,-
2017-07-20,2.47,2.71,2.42,2.67,444044,-
2017-07-21,2.65,3.21,2.65,2.85,844796,-
2017-07-22,2.86,2.89,2.75,2.81,384718,-
