Date,Open,High,Low,Close,Volume,Market Cap
2014-09-01,1.4000000000000001e-05,2.4e-05,1.4000000000000001e-05,2.4e-05,1,352
2014-09-02,2.4e-05,2.4e-05,1.4000000000000001e-05,1.4000000000000001e-05,0,578
2014-09-03,1.4000000000000001e-05,1.4000000000000001e-05,1.4000000000000001e-05,1.4000000000000001e-05,0,350
2014-09-04,1.4000000000000001e-05,1.4000000000000001e-05,1.4000000000000001e-05,1.4000000000000001e-05,0,353
2014-09-05,1.4999999999999999e-05,1.4999999999999999e-05,1.4000000000000001e-05,1.4999999999999999e-05,0,362
2014-09-06,1.4999999999999999e-05,1.4999999999999999e-05,1e-05,1e-05,0,361
2014-09-07,1e-05,1e-05,1e-05,1e-05,0,243
2014-09-10,1e-05,1e-05,1e-05,1e-05,1,245
2014-09-11,1e-05,1e-05,9e-06,1e-05,0,246
2014-09-12,6.2e-05,0.000143,2.4e-05,0.000143,1,1600
2014-09-13,0.000143,0.000145,2.4e-05,3.8e-05,0,3706
2014-09-14,3.8e-05,3.8e-05,2.4e-05,2.4e-05,1,991
2014-09-15,2.4e-05,2.4e-05,2.4e-05,2.4e-05,0,618
2014-09-16,2.4e-05,7.099999999999999e-05,2.4e-05,3.7e-05,1,625
2014-09-17,3.7e-05,3.7e-05,3.6e-05,3.7e-05,1,987
2014-09-18,3.7e-05,4.3e-05,3.6e-05,4.2e-05,1,973
2014-09-19,4.2e-05,4.3e-05,8e-06,8e-06,0,1135
2014-09-20,8e-06,8e-06,8e-06,8e-06,0,212
2014-09-21,8e-06,4e-05,8e-06,4e-05,0,221
2014-09-22,4e-05,4.1e-05,1.2e-05,1.2e-05,2,1086
2014-09-23,1.2e-05,3.5e-05,1.2e-05,3.5e-05,0,330
2014-09-24,3.5e-05,3.5e-05,3.5e-05,3.5e-05,0,958
2014-09-25,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0,342
2014-09-26,1.2e-05,1.7e-05,1.2e-05,1.6e-05,0,343
2014-09-27,1.6e-05,1.6e-05,1.6e-05,1.6e-05,0,451
2014-09-28,1.2e-05,1.2e-05,1.1e-05,1.1e-05,2,336
2014-09-29,1.1e-05,1.2e-05,1.1e-05,1.1e-05,1,319
2014-09-30,1.1e-05,1.2e-05,1.1e-05,1.2e-05,1,320
2014-10-01,1.2e-05,1.2e-05,1.1e-05,1.2e-05,1,331
2014-10-02,1.2e-05,1.2e-05,7.000000000000001e-06,8e-06,1,330
2014-10-03,8e-06,8e-06,7.000000000000001e-06,7.000000000000001e-06,0,216
2014-10-05,1e-05,2.7000000000000002e-05,6e-06,6e-06,1,288
2014-10-06,6e-06,7.000000000000001e-06,6e-06,7.000000000000001e-06,0,187
2014-10-07,7.000000000000001e-06,7.000000000000001e-06,6e-06,7.000000000000001e-06,0,194
2014-10-08,7.000000000000001e-06,6.9e-05,7.000000000000001e-06,3.9e-05,15,198
2014-10-09,3.9e-05,0.00010800000000000001,3.9e-05,6.2e-05,23,1150
2014-10-10,6.2e-05,8.6e-05,5.3e-05,6.9e-05,8,1846
2014-10-11,6.9e-05,7.2e-05,4.7e-05,4.7e-05,11,2054
2014-10-12,4.7e-05,5.6000000000000006e-05,3.7e-05,5.3e-05,3,1417
2014-10-13,5.3e-05,5.3e-05,3.9e-05,3.9e-05,2,1598
2014-10-14,3.9e-05,4.1e-05,3.9e-05,4e-05,2,1189
2014-10-15,4e-05,4.8e-05,3.5e-05,3.6e-05,13,1222
2014-10-16,3.6e-05,5.6999999999999996e-05,3.4e-05,3.4e-05,8,1088
2014-10-17,3.4e-05,7.3e-05,3.4e-05,7.3e-05,0,1060
2014-10-18,7.3e-05,7.3e-05,3.9e-05,3.9e-05,0,2256
2014-10-19,3.9e-05,3.9e-05,3.9e-05,3.9e-05,1,1215
2014-10-20,3.9e-05,3.9e-05,3.8e-05,3.8e-05,0,1215
2014-10-21,3.8e-05,4.2e-05,3.1e-05,3.1e-05,2,1199
2014-10-22,3.1e-05,3.1e-05,2.7000000000000002e-05,2.7000000000000002e-05,1,973
2014-10-23,2.7000000000000002e-05,3.6e-05,1.8e-05,1.8e-05,4,848
2014-10-24,1.8e-05,2.2e-05,1.8e-05,1.8e-05,1,570
2014-10-25,1.8e-05,1.8e-05,3e-06,7.000000000000001e-06,1,572
2014-10-26,7.000000000000001e-06,3.2e-05,7.000000000000001e-06,3.2e-05,0,223
2014-10-27,3.2e-05,3.2e-05,3.1e-05,3.2e-05,0,1028
2014-10-28,4e-06,4e-06,4e-06,4e-06,0,115
2014-10-29,4e-06,4e-06,3e-06,3e-06,0,116
2014-11-01,3e-06,3e-06,3e-06,3e-06,0,110
2014-11-02,3e-06,3e-06,3e-06,3e-06,0,108
2014-11-03,3e-06,3e-06,3e-06,3e-06,0,108
2014-11-04,2e-05,2e-05,2e-05,2e-05,0,659
2014-11-05,2e-05,2.1e-05,2e-05,2e-05,0,665
2014-11-06,1e-05,1.1e-05,1e-05,1e-05,0,346
2014-11-07,1e-05,1.1e-05,1e-05,1e-05,0,355
2014-11-08,1e-05,1e-05,1e-05,1e-05,0,348
2014-11-10,1.1e-05,1.1e-05,1.1e-05,1.1e-05,4,380
2014-11-11,1.1e-05,1.1e-05,1.1e-05,1.1e-05,1,377
2014-11-12,1.1e-05,1.3000000000000001e-05,1.1e-05,1.3000000000000001e-05,0,381
2014-11-13,1.3000000000000001e-05,1.4000000000000001e-05,1.2e-05,1.3000000000000001e-05,0,444
2014-11-14,1.3000000000000001e-05,1.3000000000000001e-05,1.2e-05,1.2e-05,0,437
2014-11-15,1.2e-05,1.2e-05,1.1e-05,1.1e-05,0,419
2014-11-16,1.1e-05,1.2e-05,1.1e-05,1.2e-05,0,394
2014-11-17,1.2e-05,1.2e-05,1.1e-05,1.2e-05,1,410
2014-11-18,1.2e-05,1.2e-05,1.1e-05,1.1e-05,2,411
2014-11-19,1.1e-05,1.2e-05,1.1e-05,1.1e-05,1,398
2014-11-20,1.1e-05,1.1e-05,1.1e-05,1.1e-05,0,407
2014-11-21,1.1e-05,1.1e-05,7.000000000000001e-06,7.000000000000001e-06,1,384
2014-11-22,7.000000000000001e-06,7.000000000000001e-06,7.000000000000001e-06,7.000000000000001e-06,0,253
2014-11-23,7.000000000000001e-06,7.000000000000001e-06,7.000000000000001e-06,7.000000000000001e-06,0,258
2014-11-24,7.000000000000001e-06,1.4999999999999999e-05,7.000000000000001e-06,1.1e-05,3,266
2014-11-25,1.1e-05,3.4e-05,1.1e-05,1.1e-05,0,411
2014-11-26,1.1e-05,3.4e-05,1.1e-05,1.1e-05,15,412
2014-11-27,1.1e-05,2.6000000000000002e-05,1.1e-05,2.6000000000000002e-05,0,407
2014-11-28,2.6000000000000002e-05,5.4000000000000005e-05,1.4000000000000001e-05,5.3e-05,22,951
2014-11-29,5.3e-05,5.4000000000000005e-05,2.9999999999999997e-05,2.9999999999999997e-05,0,1945
2014-11-30,2.9999999999999997e-05,0.000375,2.9999999999999997e-05,0.00037400000000000004,42,1114
2014-12-01,0.00037400000000000004,0.00037999999999999997,3.8e-05,0.00011399999999999999,6,13937
2014-12-02,0.00011399999999999999,0.00011499999999999999,3.8e-05,0.00011399999999999999,7,4251
2014-12-03,0.00011499999999999999,0.000376,7.900000000000001e-05,0.000113,10,4295
2014-12-04,0.000113,0.00035499999999999996,0.00011,0.000155,43,4244
2014-12-05,0.000155,0.000157,0.00013000000000000002,0.000132,48,5864
2014-12-06,0.000132,0.000143,0.00013000000000000002,0.000131,53,5001
2014-12-07,0.000131,0.000357,0.000131,0.000338,91,4992
2014-12-08,0.000337,0.000338,5.7999999999999994e-05,5.7999999999999994e-05,115,12882
2014-12-09,5.7999999999999994e-05,5.7999999999999994e-05,4.2e-05,4.6e-05,113,2220
2014-12-10,4.6e-05,0.00026000000000000003,4.5e-05,8.7e-05,13,1762
2014-12-11,8.6e-05,9e-05,8.499999999999999e-05,8.9e-05,2,3325
2014-12-14,0.000171,0.000261,0.00010400000000000001,0.00026000000000000003,4,6685
2014-12-15,0.00026000000000000003,0.00032599999999999996,0.000173,0.000325,17,10192
2014-12-16,0.000325,0.000325,0.000309,0.00031099999999999997,0,12784
2014-12-17,0.000223,0.000239,0.000221,0.00023700000000000001,129,8840
2014-12-18,0.00023700000000000001,0.000965,0.00023700000000000001,0.00062,134,9378
2014-12-19,0.0006190000000000001,0.00064,0.000309,0.0006389999999999999,203,24629
2014-12-20,0.000638,0.000986,0.0006320000000000001,0.00066,43,25483
2014-12-21,0.000659,0.0008150000000000001,0.000321,0.000321,20,26402
2014-12-22,0.000321,0.001325,0.00032,0.001324,300,12907
2014-12-23,0.001325,0.001666,0.000769,0.0007700000000000001,284,53450
2014-12-24,0.000769,0.0007700000000000001,0.000723,0.000726,51,31139
2014-12-25,0.000725,0.00091,0.000662,0.0006730000000000001,2021,29463
2014-12-26,0.000699,0.000808,0.000583,0.000587,2310,28497
2014-12-27,0.00059,0.0006900000000000001,0.000475,0.0006900000000000001,2493,24121
2014-12-28,0.0006900000000000001,0.0009550000000000001,0.000621,0.000692,1889,28340
2014-12-29,0.000664,0.000715,0.000567,0.00057,864,27361
2014-12-30,0.00057,0.000598,0.000523,0.00053,904,23556
2014-12-31,0.00053,0.000611,0.000489,0.000515,1049,21993
2015-01-01,0.000515,0.000625,0.000509,0.000552,227,21376
2015-01-02,0.000552,0.000611,0.0005009999999999999,0.000557,448,22893
2015-01-03,0.000557,0.000614,0.000443,0.000443,379,23096
2015-01-04,0.000443,0.000468,0.00023500000000000002,0.000263,1695,18397
2015-01-05,0.000267,0.000469,0.00022999999999999998,0.000299,1116,11240
2015-01-06,0.000299,0.000404,0.00028199999999999997,0.00033999999999999997,274,12612
2015-01-07,0.00033999999999999997,0.000466,0.000304,0.000399,1170,14344
2015-01-08,0.000398,0.000453,0.000303,0.00032599999999999996,359,16855
2015-01-09,0.000325,0.000344,0.00022,0.000263,741,13750
2015-01-10,0.000265,0.00031299999999999996,0.000217,0.000217,598,11255
2015-01-11,0.000217,0.000454,0.000167,0.000293,1053,9230
2015-01-12,0.000293,0.000381,0.000267,0.000309,268,12479
2015-01-13,0.000309,0.000349,0.000239,0.000267,652,13171
2015-01-14,0.000264,0.000554,0.000195,0.00048600000000000005,4121,11293
2015-01-15,0.000481,0.002337,0.00045099999999999996,0.001433,4900,20607
2015-01-16,0.001415,0.002784,0.001192,0.001983,16892,60667
2015-01-17,0.00198,0.002303,0.0018329999999999998,0.0018449999999999999,7258,85045
2015-01-18,0.001853,0.002623,0.001797,0.00228,5170,79682
2015-01-19,0.002292,0.002703,0.002137,0.00224,6462,98761
2015-01-20,0.0022199999999999998,0.002339,0.002166,0.002206,1319,95790
2015-01-21,0.002207,0.00237,0.001963,0.002273,4036,95386
2015-01-22,0.002278,0.00255,0.0022670000000000004,0.002357,750,98610
2015-01-23,0.002358,0.002623,0.002238,0.0024649999999999997,1998,102234
2015-01-24,0.002463,0.003311,0.002408,0.003176,3937,106928
2015-01-25,0.0032119999999999996,0.004985,0.003038,0.003266,12003,139675
2015-01-26,0.0032869999999999996,0.0040490000000000005,0.0019219999999999999,0.002288,5063,143175
2015-01-27,0.002286,0.0027719999999999997,0.001115,0.0019039999999999999,4815,99712
2015-01-28,0.0019030000000000002,0.003215,0.0017850000000000001,0.002202,5217,83168
2015-01-29,0.002196,0.0022719999999999997,0.0018859999999999999,0.002001,2625,96127
2015-01-30,0.001994,0.002026,0.0016350000000000002,0.001987,2520,87429
2015-01-31,0.001827,0.001918,0.001675,0.001684,269,80211
2015-02-01,0.001679,0.001745,0.00158,0.001656,1705,73839
2015-02-02,0.0016530000000000002,0.0017280000000000002,0.001016,0.001248,3298,72799
2015-02-03,0.001247,0.001469,0.001179,0.0013130000000000001,2615,54998
2015-02-04,0.001314,0.001315,0.0011220000000000002,0.001135,1101,58057
2015-02-05,0.001135,0.001222,0.001052,0.001085,675,50257
2015-02-06,0.001086,0.0011220000000000002,0.000958,0.000958,631,48124
2015-02-07,0.000958,0.000977,0.000787,0.0008380000000000001,262,42529
